country,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,protection,fa_glofris,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,9960.94072581355,2897366.0,0.57407,0.0,0.175,0.1852799860314327,3,0.2,1.5,0.06,0.8,0.05,20,0.07367993943126039,0.1958497991597081,1.118347494599629,2.1345655088916127,6184617.530235256,4.52597046441827e-08,0.13113392940609703,0.0,3.0614537243983166,8870151.931645053,0.0003073458429949923,0.697239187997568,0.0002142935660042565
Angola,7488.011759834088,21471618.0,0.4405,0.0,0.175,0.43239739052511456,3,0.2,1.5,0.06,0.8,0.05,20,0.017032878672476978,0.1256680312276769,1.351790414097182,0.27873933076542645,5984984.431770884,2.0206689094582234e-08,0.43387030928363557,0.0,0.8908745714806854,19128518.48474697,0.00011897344716515571,0.3128828004397358,3.722474532700287e-05
Argentina,18087.196261682242,41446246.0,0.91751,0.7333333333333333,0.375,0.2695495148851759,3,0.2,1.5,0.06,0.8,0.05,20,0.07205781664084926,0.15106190614207007,1.1979538860660952,1.3725485835535376,56886986.24091147,1.498089428149841e-08,0.6209018296909763,0.024033351639621107,2.4795277436175316,102767116.82579714,0.00013708745721250428,0.5535524202488028,7.588509372573594e-05
Armenia,7526.836419112871,2976566.0,0.62673,0.4,0.425,0.3666957212217474,3,0.2,1.5,0.06,0.8,0.05,20,0.03800051942626459,0.2696173557551283,1.289724411382942,1.1320379792774358,3369585.75982592,3.637124334626826e-08,0.10826140632222833,0.012216023642898713,1.6160370755846032,4810241.01392456,0.00021470336082779818,0.7005024800361834,0.00015040023673197617
Australia,42834.0167597384,23129300.0,0.8942299999999999,0.8,0.9166666666666669,0.27360239086009513,3,0.2,1.5,0.06,0.8,0.05,20,0.04109036778223482,0.22516027695600005,1.201782492156731,1.9652463164652683,45454771.627420135,4.599924263901086e-09,0.1063930282770474,0.06272907378592847,2.7732553147038064,64143454.15037875,6.474422724021794e-05,0.7086424052071685,4.588050491478751e-05
Austria,44056.25441680201,8479823.0,0.65968,0.8,0.8916666666666666,0.2322785182072901,3,0.2,1.5,0.06,0.8,0.05,20,0.07921920515759366,0.473076769832,1.1627453167024924,3.0744221282769857,26070555.475072134,6.7605545691556695e-09,0.05732830612828133,0.29825301944552796,4.252350703696561,36059181.30127229,9.652093124999786e-05,0.7229935493336418,6.978401066942438e-05
Azerbaijan,16593.188760048204,9416801.0,0.5462,0.0,0.25,0.5982212831852317,3,0.2,1.5,0.06,0.8,0.05,20,0.05712771561032616,0.428208034056247,1.5084382783151649,0.7038024387625209,6627567.5091413455,7.874281625021504e-09,0.07415054308078413,0.0,1.1452482413130047,10784574.784044545,6.901917755979759e-05,0.6145413835830258,4.2415140871360536e-05
Bangladesh,2853.447740155661,156594962.0,0.34276999999999996,0.7333333333333333,0.6166666666666667,0.2897089076246591,3,0.2,1.5,0.06,0.8,0.05,20,0.22001199985389425,0.0734057697595131,1.2169977389506987,1.6845122350294472,263786129.43297136,2.512599889961954e-07,39.34604842897964,0.0871874598848109,2.605843228629876,408061921.36525273,0.0009132261971924961,0.6464365225513375,0.0005903427672158992
Belarus,17054.558334452504,9466000.0,0.76667,0.7333333333333333,0.5166666666666667,0.3864445367538237,3,0.2,1.5,0.06,0.8,0.05,20,0.03563503796859986,0.33536386098589716,1.308380406754342,1.6837170920160442,15938065.993023876,1.784730964819516e-08,0.1689426331298154,0.09215663007662721,2.7049347831458044,25604912.657258183,0.00015860479820702667,0.6224612521185826,9.872534128396095e-05
Belgium,40608.97200934282,11182817.0,0.97858,0.0,0.425,0.2166915174374668,3,0.2,1.5,0.06,0.8,0.05,20,0.10099202257790048,0.46519935741750007,1.1480208379739567,0.7973760792492931,8916910.774422342,1.8640675928216293e-09,0.020845526766154792,0.0,1.038344355773025,11611614.913592631,2.556933368158483e-05,0.7679302871114119,1.9635465755346933e-05
Benin,1733.3093993643502,10323474.0,0.4395,0.6666666666666667,0.25,0.3302533219458435,3,0.2,1.5,0.06,0.8,0.05,20,0.043864808492979766,0.08292798928509816,1.255298588167888,0.15161338443692227,1565176.8322865714,6.225530136902833e-08,0.6426909850453283,0.002820783476902055,0.3056768845504829,3155647.370057912,0.00017635448389224833,0.4959923111617658,8.747046804945664e-05
Bolivia,5934.38797771874,10671200.0,0.68512,0.5333333333333333,0.45,0.4218342004210295,3,0.2,1.5,0.06,0.8,0.05,20,0.04648689477305887,0.25299094871638006,1.3418117485225833,0.6044168791082062,6449853.40033949,3.822307354679604e-08,0.40788606243256986,0.005487735307117467,1.1889451240273905,12687471.20752109,0.0002003483979293914,0.5083639832432517,0.00010184990960778946
Bosnia and Herzegovina,9387.350031380154,3829307.0,0.39767,0.0,0.125,0.32393223235700314,3,0.2,1.5,0.06,0.8,0.05,20,0.13678412833995238,0.14001290809823436,1.2493272822979196,1.3366114565485105,5118295.606841407,3.567597936793651e-08,0.13661427752549488,0.0,2.207919848667258,8454802.931940472,0.00023520161081525622,0.6053713667891134,0.00014238432061023276
Botswana,15246.608797311901,2021144.0,0.57444,0.6,0.7083333333333333,0.2811780767140953,3,0.2,1.5,0.06,0.8,0.05,20,0.034952582599130165,0.07042621696111834,1.2089389699717095,0.9863231003198553,1993501.0162728736,1.3652433158989377e-08,0.027593533364692426,0.009606522089607168,1.7487227783710229,3534420.5511679226,0.00011469585149186333,0.5640248486032983,6.46913102731246e-05
Brazil,14555.082195311496,200361925.0,0.8568700000000001,0.8666666666666666,0.5583333333333333,0.26557501018758395,3,0.2,1.5,0.06,0.8,0.05,20,0.04966197906263582,0.2190353062941068,1.1941993145009573,0.5387132257066778,107937618.92554943,7.513200466630092e-09,1.5053593084049035,0.008953853374022302,0.897756615066997,179876243.57630754,6.167994127550744e-05,0.6000660052685606,3.701203596639315e-05
Bulgaria,15695.017794275904,7265115.0,0.73948,0.6666666666666667,0.7166666666666667,0.3230784715072762,3,0.2,1.5,0.06,0.8,0.05,20,0.0406646206660324,0.4277098855127999,1.2485207651457937,0.743881787653868,5404386.733710932,8.270238960596806e-09,0.060084237126216265,0.020246921920913954,1.1063670013726046,8037883.497177131,7.049160541736405e-05,0.672364402346579,4.7396046146896856e-05
Burkina Faso,1630.4444967271695,16934839.0,0.29859,0.8,0.4166666666666667,0.40566509188102295,3,0.2,1.5,0.06,0.8,0.05,20,0.011201136451543192,0.34525987036326616,1.3265373735307222,0.09521644355119074,1612475.1416920035,3.041967550111185e-08,0.5151523070435735,0.000892337868034362,0.13626561158924652,2307636.193500424,8.357574383106923e-05,0.6987562191274442,5.839907077016176e-05
Burundi,746.960151427392,10162532.0,0.12057,0.6666666666666667,0.25,0.4629793127178333,3,0.2,1.5,0.06,0.8,0.05,20,0.013002055002250844,0.10213299974961002,1.3806800555012047,0.07769340955195794,789561.7607608782,9.634046435189489e-08,0.9790630518709911,0.0015066539217350957,0.1338221609540095,1359971.9930042722,0.00017915568949465927,0.5805720741474107,0.00010401279024522382
Cambodia,2943.5246683518503,15135169.0,0.20723000000000005,0.0,0.15,0.4592944496539701,3,0.2,1.5,0.06,0.8,0.05,20,0.1597953949501889,0.029051198359788716,1.377199097964687,1.1481222657091295,17377024.524170578,2.0104696104132028e-07,3.0428797322967984,0.0,2.1845874050394136,33064099.570542976,0.0007421671809064934,0.5255556555259071,0.00039005015927112664
Cameroon,2739.343944800181,22253959.0,0.54381,0.6666666666666667,0.5666666666666667,0.4197375746029477,3,0.2,1.5,0.06,0.8,0.05,20,0.03702171514027235,0.047606027121154575,1.3398311415593882,0.2660374632454583,5920386.799528435,5.8670867775603026e-08,1.305659085972691,0.012579438775468042,0.572354026820265,12737143.046343079,0.00020893835836376324,0.4648127745749248,9.711721806619074e-05
Canada,41898.88235946359,35154279.0,0.81828,0.8666666666666666,0.8333333333333333,0.3354838938558465,3,0.2,1.5,0.06,0.8,0.05,20,0.03686313445856925,0.23708781730000006,1.260239721228972,1.1046673726195797,38833785.01926567,2.7256416062953468e-09,0.09581796548171477,0.03303442849947417,1.5910821156781911,55933344.606461406,3.797433311055414e-05,0.6942868389597356,2.636507969693066e-05
Central African Republic,584.375944042188,4616417.0,0.40037,0.0,0.0,0.3147438330510679,3,0.2,1.5,0.06,0.8,0.05,20,0.044632484615373384,0.06869580667148026,1.2406473321184426,0.09451723699365883,436330.9796505555,1.8801516051129008e-07,0.8679563832420484,0.0,0.18071931874095465,834275.7352641616,0.00030925181055691767,0.523005717662875,0.00016174046511886417
Chad,2021.5934708651703,12825314.0,0.22471,0.0,0.0,0.7532009944644721,3,0.2,1.5,0.06,0.8,0.05,20,0.0781597334231037,0.07190968099154395,1.654842034610844,0.10835997695661526,1389750.729501355,3.8057954520037374e-08,0.4881052169171986,0.0,0.2353750941305478,3018759.4900038326,0.00011643047799803964,0.4603714652006247,5.36012697499666e-05
Chile,21714.0315564501,17619708.0,0.8953,0.8,0.925,0.3473941118185529,3,0.2,1.5,0.06,0.8,0.05,20,0.08372318136236923,0.18626686982954885,1.2714908755487702,2.8676850737829995,50527773.63601491,2.476561164048015e-08,0.4363628455466612,0.138716054438824,5.392042511755805,95006214.58072385,0.00024832065375506523,0.5318365104746176,0.00013206598997186962
China,11524.567506562998,1357380000.0,0.55614,0.8,0.8416666666666667,0.2292163791392399,3,0.2,1.5,0.06,0.8,0.05,20,0.09268535857950012,0.18822186322226658,1.159852624116077,0.45206917268242097,613629653.6156645,8.320889242875727e-09,11.294608640494658,0.013495479906649654,0.7004477325907719,950773743.2640619,6.077865674281327e-05,0.6454002941951658,3.922656294259868e-05
Colombia,12025.3853718442,48321405.0,0.76436,0.7333333333333333,0.7166666666666667,0.2797792564799715,3,0.2,1.5,0.06,0.8,0.05,20,0.03419750354611952,0.10178718715954245,1.2076175548331232,2.9766447366328936,143835655.8599564,8.407634073092906e-08,4.062686911377219,0.1241776716846315,7.544255365341442,364549018.93208677,0.0006273607981832571,0.3945577916553166,0.0002475300911023027
"Congo, Dem. Rep.",783.2592535785261,67513677.0,0.42494,0.4,0.375,0.2370560018580905,3,0.2,1.5,0.06,0.8,0.05,20,0.036329393275439416,0.031093328767158562,1.1672584335895029,0.24491345565466952,16535007.938023178,2.497550555306e-07,16.861882148209993,0.0017018594895476693,0.3725171057714179,25149999.556026343,0.00047559872937277846,0.6574555956229083,0.0003126850458972785
"Congo, Rep.",5680.2299827443285,4447632.0,0.6537999999999999,0.0,0.125,0.3727534239023239,3,0.2,1.5,0.06,0.8,0.05,20,0.0348527324926088,0.16160967859693265,1.29544690511866,1.0228196948238253,4549125.604928679,7.208334914463792e-08,0.3206002103228643,0.0,2.0996995300912538,9338690.820418824,0.00036965044311054664,0.4871266960655905,0.0001800665990516221
Costa Rica,13430.743207071202,4872166.0,0.7682100000000001,0.9333333333333332,0.75,0.4818967549173638,3,0.2,1.5,0.06,0.8,0.05,20,0.02002755712618558,0.24112379115111446,1.3985506824023444,0.9486449873237016,4621955.85330897,1.7680686751478853e-08,0.08614324084720572,0.03292195978696779,1.8724687657992858,9122978.656789243,0.00013941661581418985,0.5066279366848403,7.063235240952608e-05
Croatia,20048.987159099495,4255700.0,0.5896399999999999,0.6666666666666667,0.5583333333333333,0.23052247153165525,3,0.2,1.5,0.06,0.8,0.05,20,0.10140820045641144,0.30748188379630004,1.1610864425994154,2.597290555328348,11053289.41631085,1.8460731548762133e-08,0.07856333525206699,0.06730244332425381,3.565933678918803,15175543.957374752,0.00017786103859617454,0.728361991330094,0.0001295472202519484
Czech Republic,28124.464480282102,10514272.0,0.72992,0.6666666666666667,0.9,0.2397998315707817,3,0.2,1.5,0.06,0.8,0.05,20,0.0690777073710352,0.48631139266659995,1.1698504307822835,1.406924366951983,14792785.477560963,5.9381959352646165e-09,0.062435807252666564,0.1225542766347339,1.9054689705244547,20034619.0436541,6.775129787308015e-05,0.7383612059370067,5.002493000136481e-05
Denmark,42482.7324552521,5614932.0,0.87676,0.7333333333333333,0.9166666666666669,0.2301060640275852,3,0.2,1.5,0.06,0.8,0.05,20,0.006072226335407568,0.44589611798110007,1.1606930774147577,0.08407928623806946,472099.4748352958,1.7589275089420256e-10,0.0009876258355638865,0.003095224373589524,0.10478181579157435,588342.7705062161,2.466456598617876e-06,0.8024224967175114,1.979140261908337e-06
Djibouti,2902.5462446952693,872932.0,0.7734300000000001,0.6,0.25,0.2605986206727131,3,0.2,1.5,0.06,0.8,0.05,20,0.006169676099266541,0.10193764365749666,1.1894982984017932,0.20790275440865458,181484.96721145566,3.3014825963730604e-08,0.028819698058171285,0.002443410245361734,0.3512782807852173,306642.0522024013,0.000121024180554304,0.5918463104064579,7.162771473102981e-05
Dominican Republic,11795.470579020399,10403761.0,0.7898000000000001,0.6,0.5083333333333333,0.3771503990888722,3,0.2,1.5,0.06,0.8,0.05,20,0.03484973710414988,0.143410012884762,1.2996005693521007,4.242394995587516,44136863.60168857,7.534298730080837e-08,0.7838504329036453,0.05171329276933485,6.566956638918145,68321047.36866768,0.0005567354515383416,0.6460214721756435,0.0003596630560151711
Ecuador,10540.657366653302,15737878.0,0.63742,0.8,0.4583333333333333,0.25747347179967145,3,0.2,1.5,0.06,0.8,0.05,20,0.06925596070902182,0.19552760747074657,1.186546082720012,3.234284695297733,50900777.951862894,6.667592670580993e-08,1.0493376000329786,0.038583786271951234,4.909772378464161,77269398.70003879,0.0004657937553303691,0.6587443258030341,0.0003068389933183674
"Egypt, Arab Rep.",10733.488722812801,82056378.0,0.43135,0.6666666666666667,0.4583333333333333,0.4927783418827425,3,0.2,1.5,0.06,0.8,0.05,20,0.2004021134886876,0.1184502890119491,1.408830126034286,0.21792968286403042,17882520.434511002,4.99996812498997e-09,0.4102792744521282,0.008178031556553982,0.37832416976762745,31043911.08098861,3.524708317469443e-05,0.5760395456570649,2.0303713777687758e-05
El Salvador,7515.082656377622,6340454.0,0.6672600000000001,0.6666666666666667,0.5083333333333333,0.13424357530792413,3,0.2,1.5,0.06,0.8,0.05,20,0.00899717179647867,0.1951788282528002,1.0701352339359869,3.020446285632824,19151000.73352578,1.0482504294575494e-07,0.6646383628455836,0.07235467063816287,4.64678403808847,29462720.441434193,0.0006183277351108055,0.6500078895156344,0.00040191790612835687
Estonia,25253.7672011471,1317997.0,0.67538,0.0,0.4,0.2800603915970392,3,0.2,1.5,0.06,0.8,0.05,20,0.01820620931891829,0.39574161741700004,1.2078831330615611,1.7422820711826068,2296322.5429724623,1.1055689920818381e-08,0.014571366148568864,0.0,3.0185147625172117,3978393.4014533977,0.00011952730610346729,0.5771984595926495,6.899097696218041e-05
Finland,38820.8218247281,5438972.0,0.84221,0.8666666666666666,0.8916666666666666,0.21799096857432496,3,0.2,1.5,0.06,0.8,0.05,20,0.02965226992345247,0.4213605697696,1.1492483827021565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
France,37216.8018998205,65939866.0,0.7951999999999999,0.7333333333333333,0.95,0.2234491797478895,3,0.2,1.5,0.06,0.8,0.05,20,0.0714014429531207,0.43999073406,1.1544045583839209,1.5323433254089824,101042513.54346271,4.4674277223453035e-09,0.29458158537613444,0.139132313703178,2.1821589832601878,143891270.946873,5.863370498986138e-05,0.7022143378021118,4.117342832233989e-05
Gabon,18646.36981443209,1671711.0,0.8715600000000001,0.5333333333333333,0.5916666666666667,0.3299123735952057,3,0.2,1.5,0.06,0.8,0.05,20,0.09396234844893878,0.13994045907514252,1.2549765065300778,4.045886112775058,6763552.319473306,5.50352828113854e-08,0.0920030876639039,0.20205091953590804,9.534790504388734,15939414.168882195,0.0005113483535550662,0.4243287894907383,0.00021697982787210332
Georgia,6930.29138015289,4487200.0,0.53641,0.6666666666666667,0.6166666666666667,0.3632651483124993,3,0.2,1.5,0.06,0.8,0.05,20,0.08371570212028312,0.5676231992344137,1.28648367260485,1.4051232066547863,6305068.852901357,5.2413831315015594e-08,0.23519134387673798,0.0026822156091517273,2.057536815684151,9232579.199337924,0.0002968903762945043,0.6829152197636711,0.00020275095657288042
Germany,42883.686807951686,80651873.0,0.7530100000000001,0.8,0.9166666666666669,0.2730174463967501,3,0.2,1.5,0.06,0.8,0.05,20,0.0720767912654576,0.4567786258392999,1.201229916171454,1.235202293299749,99621378.48852009,2.6498744147065937e-09,0.21371733476086552,0.04928331820174019,1.6008012644736722,129107620.28057003,3.7328909513835094e-05,0.7716150160000477,2.8803547111782198e-05
Ghana,3864.030788779499,25904598.0,0.54042,0.8,0.5416666666666667,0.4079350165763704,3,0.2,1.5,0.06,0.8,0.05,20,0.025936311688255692,0.1439734587507087,1.3286816897071048,0.25613043702425353,6634956.006677604,2.6558658103501024e-08,0.6879913615906363,0.005345899280015625,0.4340442092331807,11243740.754413435,0.00011232938683966306,0.5901021867720693,6.628581681285087e-05
Greece,24305.059606893305,11027549.0,0.7800699999999999,0.8,0.4666666666666667,0.2367917503163358,3,0.2,1.5,0.06,0.8,0.05,20,0.017597576249905544,0.513334475704,1.1670088046671074,5.840698955226404,64408593.92300797,3.716495873680269e-08,0.4098384035530698,0.3665637055571053,9.583515277314884,105682684.31283848,0.00039430124559730953,0.6094526680676253,0.00024030794615166829
Guatemala,7062.530674821691,15468203.0,0.51571,0.4666666666666667,0.5833333333333333,0.6475627728005022,3,0.2,1.5,0.06,0.8,0.05,20,0.032325331712589875,0.12231358037263612,1.5550494079996444,0.513704779382738,7946089.809562406,5.164168001828553e-08,0.7988039897838843,0.01960498993492877,2.0854864677827933,32258728.037417207,0.0002952888367929738,0.24632371742449546,7.273664399280043e-05
Guinea,1212.88813283302,11745189.0,0.37161,0.6,0.3333333333333333,0.3510694892836516,3,0.2,1.5,0.06,0.8,0.05,20,0.02160955117769452,0.0756116009886149,1.274962872381474,0.1460043136946629,1714848.2591591042,1.0414547093355676e-07,1.2232082396086306,0.004776309149380958,0.2993254459053968,3515633.9346681614,0.00024678734815076743,0.4877778207363241,0.00012037739486627783
Honduras,4445.2710541232,8097688.0,0.5473,0.33333333333333337,0.5666666666666667,0.3635926941047578,3,0.2,1.5,0.06,0.8,0.05,20,0.04325052661464394,0.1495972947848984,1.286793093328051,1.7261117252575007,13977514.204276957,1.6850023502570746e-07,1.364462331164851,0.008487217105709939,3.397920546606444,27515300.435208444,0.0007643899562558085,0.5079906082505065,0.00038830291881896615
Hungary,22706.611896434297,9893899.0,0.7122700000000001,0.8666666666666666,0.6666666666666667,0.22126941170098394,3,0.2,1.5,0.06,0.8,0.05,20,0.09877804612886447,0.578906081025,1.1523454099490313,6.802222370329325,67300501.10757893,3.650898001593296e-08,0.3612161608706591,0.09833577457002547,8.49944837402081,84092683.76827613,0.00037431601036680905,0.8003133934104264,0.0002995701164645133
India,5243.95705971261,1252139596.0,0.32747,0.8666666666666666,0.775,0.4525301642355351,3,0.2,1.5,0.06,0.8,0.05,20,0.08479572786387997,0.13133630685720793,1.3708091209429167,0.2828754199974404,354199514.11392534,1.7844414200157023e-08,22.343697587441273,0.017523692480652567,0.46106768297459527,577321102.2884659,8.792361907705316e-05,0.6135225487339715,5.394312287006849e-05
Indonesia,9254.42217970391,249865631.0,0.53742,0.6666666666666667,0.6083333333333334,0.30997681866727844,3,0.2,1.5,0.06,0.8,0.05,20,0.0644947034323651,0.14541904240043535,1.2361441051712403,0.7395609195377214,184790855.823233,1.8951930507874415e-08,4.735436075018192,0.02978934829158149,1.147974541670676,286839383.22647923,0.00012404605272799482,0.6442311154927008,7.991432692142249e-05
"Iran, Islamic Rep.",15090.047220074797,77447168.0,0.73375,0.6,0.4166666666666667,0.31799517747918205,3,0.2,1.5,0.06,0.8,0.05,20,0.04368433750480298,0.16249401804577945,1.24371876019995,1.1225286672922392,86936666.28059816,1.6347302218093396e-08,1.2660522612314518,0.03010707113289149,2.06194382237553,159691709.61807984,0.00013664263552684295,0.5444031283058882,7.43886782407746e-05
Iraq,14471.473317625,33417476.0,0.69471,0.2,0.25,0.5840924714508963,3,0.2,1.5,0.06,0.8,0.05,20,0.24086888785759994,0.1005147524121972,1.495091298295476,1.6317959184200475,54530500.94069989,2.4347148611290424e-08,0.8136202543862311,0.007235440379469214,2.884003403822768,96376114.53116566,0.0001992888588828272,0.565809290050452,0.00011275948775945718
Ireland,44647.2359111421,4597558.0,0.63241,0.0,0.35,0.31125054927451323,3,0.2,1.5,0.06,0.8,0.05,20,0.03555792087175875,0.5586647622964,1.2373473526406586,0.9947691754755127,4573508.980860846,2.0895948974728734e-09,0.009607033737635589,0.0,1.341510876922897,6167674.06428388,3.0046896510968808e-05,0.7415289675155476,2.228064414682521e-05
Israel,30926.849094520792,8059500.0,0.9214,0.0,0.4,0.3584782813615938,3,0.2,1.5,0.06,0.8,0.05,20,0.008807388501902946,0.2067616668679155,1.2819616916518886,0.8196782826823129,6606197.1192781,3.5835022336098097e-09,0.02888123625177826,0.0,1.3261018343439999,10687717.733895468,4.287865958446252e-05,0.6181111144362408,2.6503776061284324e-05
Italy,33923.5598171182,60233948.0,0.6896399999999999,0.8666666666666666,0.7166666666666667,0.2046119687179293,3,0.2,1.5,0.06,0.8,0.05,20,0.04766468506187956,0.4324526098864999,1.1366097229815528,3.1313052877133245,188610879.87224942,1.1014955467716891e-08,0.663474254864775,0.20558516060050977,4.682109423304615,282021935.53364015,0.000138019401517584,0.6687808858391141,9.230473760991419e-05
Jamaica,8607.498562766183,2714734.0,0.54788,0.6,0.4083333333333333,0.3810091134726805,3,0.2,1.5,0.06,0.8,0.05,20,0.0005963410341568682,0.1847680910832793,1.3032457579745251,4.3743413763910475,11875173.262095572,1.435705906546991e-07,0.38975596385039396,0.07121652188799107,7.800982790298184,21177593.21423735,0.0009063007949885954,0.5607423441353142,0.0005082012322736038
Japan,35614.31002268291,127338621.0,0.93498,0.8,0.8166666666666667,0.21044253355545398,3,0.2,1.5,0.06,0.8,0.05,20,0.07320319274620732,0.26540600821788796,1.1421176477705022,3.3054937563130253,420917016.6530107,9.340876011533448e-09,1.1894542702406492,0.10252057941057259,4.27298788469843,544116384.7872051,0.00011997952177023631,0.7735790143824182,9.281364019709329e-05
Jordan,11404.738859536898,6460000.0,0.8367899999999999,0.4666666666666667,0.425,0.17572272222131016,3,0.2,1.5,0.06,0.8,0.05,20,0.003988062543257742,0.21792139106393688,1.109319091396647,0.5922080423992245,3825663.95389899,9.827634601794479e-09,0.06348651952759232,0.009529590834367519,0.8144214100759041,5261162.3090903405,7.141078985731152e-05,0.7271518590652359,5.192648860206097e-05
